timestamp,material_id,material_type,material_name,warehouse_qty,safety_stock,required_qty,arrival_rate,shortage_flag,consumable_warning_flag,supplier_delay_flag
2025-01-01 00:00:00+00:00,RAW_SILICON,原材料,单晶硅毛坯,64,30,13,1.044,0,0,0
2025-01-01 00:00:00+00:00,RAW_CHALCO,原材料,硫系玻璃毛坯,85,30,22,0.858,0,0,0
2025-01-01 00:00:00+00:00,RAW_MICRO,原材料,微晶玻璃毛坯,81,30,5,1.167,0,0,0
2025-01-01 00:00:00+00:00,CONS_WHEEL,辅料,砂轮,89,30,19,0.856,0,0,0
2025-01-01 00:00:00+00:00,CONS_POLISH,辅料,抛光液,98,30,13,1.099,0,0,0
2025-01-01 00:00:00+00:00,CONS_COATING,辅料,镀膜靶材,86,30,7,1.022,0,0,0
2025-01-01 00:01:00+00:00,RAW_SILICON,原材料,单晶硅毛坯,87,30,10,1.204,0,0,0
2025-01-01 00:01:00+00:00,RAW_CHALCO,原材料,硫系玻璃毛坯,80,30,13,1.238,0,0,0
2025-01-01 00:01:00+00:00,RAW_MICRO,原材料,微晶玻璃毛坯,99,30,22,1.085,0,0,0
2025-01-01 00:01:00+00:00,CONS_WHEEL,辅料,砂轮,72,30,7,0.881,0,0,0
2025-01-01 00:01:00+00:00,CONS_POLISH,辅料,抛光液,89,30,11,1.067,0,0,0
2025-01-01 00:01:00+00:00,CONS_COATING,辅料,镀膜靶材,71,30,9,1.045,0,0,0
2025-01-01 00:02:00+00:00,RAW_SILICON,原材料,单晶硅毛坯,55,30,24,0.827,0,0,0
2025-01-01 00:02:00+00:00,RAW_CHALCO,原材料,硫系玻璃毛坯,81,30,18,0.842,0,0,0
2025-01-01 00:02:00+00:00,RAW_MICRO,原材料,微晶玻璃毛坯,73,30,6,1.049,0,0,0
2025-01-01 00:02:00+00:00,CONS_WHEEL,辅料,砂轮,92,30,15,0.987,0,0,0
2025-01-01 00:02:00+00:00,CONS_POLISH,辅料,抛光液,84,30,9,0.941,0,0,0
2025-01-01 00:02:00+00:00,CONS_COATING,辅料,镀膜靶材,73,30,24,0.981,0,0,0
2025-01-01 00:03:00+00:00,RAW_SILICON,原材料,单晶硅毛坯,71,30,11,1.02,0,0,0
2025-01-01 00:03:00+00:00,RAW_CHALCO,原材料,硫系玻璃毛坯,69,30,18,1.013,0,0,0
2025-01-01 00:03:00+00:00,RAW_MICRO,原材料,微晶玻璃毛坯,79,30,24,0.908,0,0,0
2025-01-01 00:03:00+00:00,CONS_WHEEL,辅料,砂轮,74,30,17,1.079,0,0,0
2025-01-01 00:03:00+00:00,CONS_POLISH,辅料,抛光液,89,30,13,0.9,0,0,0
2025-01-01 00:03:00+00:00,CONS_COATING,辅料,镀膜靶材,84,30,9,0.855,0,0,0
2025-01-01 00:04:00+00:00,RAW_SILICON,原材料,单晶硅毛坯,64,30,18,0.718,0,0,0
2025-01-01 00:04:00+00:00,RAW_CHALCO,原材料,硫系玻璃毛坯,91,30,14,1.081,0,0,1
2025-01-01 00:04:00+00:00,RAW_MICRO,原材料,微晶玻璃毛坯,70,30,16,1.13,0,0,0
2025-01-01 00:04:00+00:00,CONS_WHEEL,辅料,砂轮,84,30,19,0.88,0,0,0
