work_order_id,workpiece_id,product_type,process_code,process_sequence,planned_start,planned_end,plan_version,plan_change_flag,quality_hold_flag,expedite_flag,insert_order_flag
WO_0001,WP_0001,single_crystal_silicon,SC01,1,2025-01-01 00:00:00+00:00,2025-01-01 00:27:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC02,2,2025-01-01 00:38:00+00:00,2025-01-01 01:55:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC03,3,2025-01-01 02:02:00+00:00,2025-01-01 02:25:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC04,4,2025-01-01 02:30:00+00:00,2025-01-01 02:57:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC05,5,2025-01-01 03:07:00+00:00,2025-01-01 03:28:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC06,6,2025-01-01 03:41:00+00:00,2025-01-01 05:01:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC07,7,2025-01-01 05:06:00+00:00,2025-01-01 05:26:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC08,8,2025-01-01 05:37:00+00:00,2025-01-01 06:03:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC09,9,2025-01-01 06:12:00+00:00,2025-01-01 06:26:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC10,10,2025-01-01 06:38:00+00:00,2025-01-01 07:05:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC11,11,2025-01-01 07:17:00+00:00,2025-01-01 08:43:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC12,12,2025-01-01 08:50:00+00:00,2025-01-01 09:12:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC13,13,2025-01-01 09:13:00+00:00,2025-01-01 09:52:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC14,14,2025-01-01 09:59:00+00:00,2025-01-01 10:11:00+00:00,1,0,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC15,15,2025-01-01 10:21:00+00:00,2025-01-01 11:29:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG01,1,2025-01-01 01:15:00+00:00,2025-01-01 01:57:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG02,2,2025-01-01 02:04:00+00:00,2025-01-01 03:29:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG03,3,2025-01-01 03:35:00+00:00,2025-01-01 04:35:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG04,4,2025-01-01 04:41:00+00:00,2025-01-01 05:29:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG05,5,2025-01-01 05:35:00+00:00,2025-01-01 07:12:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG06,6,2025-01-01 07:20:00+00:00,2025-01-01 08:16:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG07,7,2025-01-01 08:21:00+00:00,2025-01-01 09:38:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG08,8,2025-01-01 09:47:00+00:00,2025-01-01 10:10:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG09,9,2025-01-01 10:15:00+00:00,2025-01-01 10:48:00+00:00,1,0,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG10,10,2025-01-01 10:58:00+00:00,2025-01-01 11:45:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG01,1,2025-01-01 02:30:00+00:00,2025-01-01 03:43:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG02,2,2025-01-01 03:52:00+00:00,2025-01-01 05:19:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG03,3,2025-01-01 05:22:00+00:00,2025-01-01 06:35:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG04,4,2025-01-01 06:38:00+00:00,2025-01-01 08:16:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG05,5,2025-01-01 08:17:00+00:00,2025-01-01 08:53:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG06,6,2025-01-01 09:02:00+00:00,2025-01-01 09:45:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG07,7,2025-01-01 10:00:00+00:00,2025-01-01 10:57:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG08,8,2025-01-01 11:01:00+00:00,2025-01-01 11:21:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG09,9,2025-01-01 11:34:00+00:00,2025-01-01 12:51:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG10,10,2025-01-01 12:54:00+00:00,2025-01-01 14:28:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG11,11,2025-01-01 14:29:00+00:00,2025-01-01 15:50:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG12,12,2025-01-01 15:56:00+00:00,2025-01-01 17:01:00+00:00,1,0,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG13,13,2025-01-01 17:05:00+00:00,2025-01-01 18:41:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC01,1,2025-01-01 03:45:00+00:00,2025-01-01 05:22:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC02,2,2025-01-01 05:30:00+00:00,2025-01-01 05:58:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC03,3,2025-01-01 06:11:00+00:00,2025-01-01 06:36:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC04,4,2025-01-01 06:40:00+00:00,2025-01-01 07:29:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC05,5,2025-01-01 07:40:00+00:00,2025-01-01 08:08:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC06,6,2025-01-01 08:23:00+00:00,2025-01-01 08:51:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC07,7,2025-01-01 08:58:00+00:00,2025-01-01 09:31:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC08,8,2025-01-01 09:33:00+00:00,2025-01-01 10:15:00+00:00,1,0,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC09,9,2025-01-01 10:19:00+00:00,2025-01-01 10:43:00+00:00,1,0,0,0,0
