state_category,state_code,state_name,parameter,mean,std,min,max,p05,p95
process,0,正常,temperature,64.91802199127166,1.7150085038759975,59.20294224990502,70.36953574719485,62.190273427920054,67.67326884115232
process,0,正常,pressure,5.000254418531925,0.09992480112148514,4.614791841061649,5.396316196340685,4.836249596002967,5.166256737121596
process,0,正常,flow_rate,80.00626668780612,1.4908285816418778,74.32774597582416,85.9707964577952,77.57396003432689,82.46165598917801
process,0,正常,spindle_speed,1500.0199103741302,15.13193291293326,1438.787504518521,1563.7999803338446,1475.1780100855192,1524.9299738679783
process,0,正常,feed_rate,300.0043081218943,4.0088793567018275,282.10887685728994,315.2816139837755,293.41238357438345,306.60184371880865
process,0,正常,vibration,2.1208504070199363,1.418726453711787,0.7085121049136865,6.0709295494843065,1.0309721874048554,5.700812208623787
process,0,正常,motor_current,40.64307093612689,8.452308194010786,30.5820872509468,64.45054196368118,33.28598638752915,59.94081183267557
process,0,正常,motor_voltage,379.9998553026375,1.9957297171779307,371.65370896814164,388.0210685903919,376.7268436048108,383.25648059079936
process,0,正常,bearing_temperature,60.23836889498016,8.770347235786815,50.79207132990791,86.18123746956857,53.60056949320167,83.03447192099702
process,0,正常,tool_wear,0.40140902350033003,0.1669968077663692,0.05743202508369894,0.9012067992008068,0.14187097846612517,0.671415453731506
process,0,正常,equipment_load,73.44746315623784,6.381329406952731,62.04034442151618,96.11269372913105,67.22437056418644,90.00989646055348
process,0,正常,cycle_time,13.785366169055568,1.9193926052419972,10.898969053765757,18.404252060651494,11.62804679052491,17.404416054555018
process,0,正常,buffer_level,50.1166435693892,12.619240398208689,17.865920025302728,85.4773758229157,27.537278577144193,76.05227431966001
process,0,正常,material_inventory,67.90360735597802,6.966030568679464,39.22612625835175,86.05121031068789,51.45621083680966,76.30879078476381
process,0,正常,conveyor_speed,1.4114836223658118,0.14949702181650767,0.9109490296568584,1.6394352718681457,1.0768807792596398,1.5582782785216909
process,0,正常,agv_delay,1.639109146483283,2.5150948914484297,0.0,8.71837854604934,0.0,7.147717434059364
process,0,正常,queue_length,2.0907716400846255,1.5715018112858634,0.0,6.726976741124366,0.0,4.420825230126474
process,0,正常,station_output,46.16656682677669,6.4338810834844065,26.18899256912212,66.88529138002137,32.942355619150185,54.20625010896381
process,0,正常,defect_rate,0.00999795332647875,0.0030029154780161623,0.0,0.022619558782226698,0.005021652602212221,0.014909410340764007
process,0,正常,energy_consumption,130.56580966532124,13.45846771786981,107.92352764751409,171.60986992808023,116.21091012573704,160.02953515051007
process,0,正常,oee,0.8012392900472786,0.1275154020393837,0.507220685507636,0.9824639871005312,0.5603138882519395,0.9386598256168739
process,0,正常,line_takt,13.486300660389128,1.6084585399363636,10.85487472412073,17.707472949385267,11.631445413572036,16.495458402064727
process,0,正常,downtime,1.6851974141917792,4.464143391420207,0.0,16.66208839356265,0.0,14.992628396847921
process,0,正常,throughput,47.99065578305506,12.302169109855646,15.297994152165987,66.77137666597639,28.508589975117044,62.33847005342034
process,1,工艺漂移,temperature,69.10112931854107,1.7640814547031052,63.766519364296016,73.95413719189662,66.1923442149237,71.8432597461371
process,1,工艺漂移,pressure,5.352246973382101,0.09876767224217772,5.006627893079226,5.730964811043389,5.186724482292579,5.512693023040568
process,1,工艺漂移,flow_rate,78.03773395610602,1.4947736680910297,73.11110595440084,84.34070464601844,75.5282494011153,80.53994403528313
process,1,工艺漂移,spindle_speed,1479.6021004964027,15.28693797797341,1420.7238480236626,1529.0953046604052,1454.2432153577588,1504.8871695328296
